,ID,Date,Tournament,Round,Tournament_level,Surface,Rank,Rival_rank,Rival_hand,Rival_name,Result,Score,Aces,Double_faults,First_serve_accuracy,First_serve_points,Second_serve_points,Total_serve_points_won,Breakpoints_saved,Breakpoints_todefend,Breakpoints_saved_ratio,Return_1st_serve_points,Return_2nd_serve_points,Total_return_points,Breakpoints_converted,Breakpoints_created,Breakpoints_converted_ratio,Total_points,Service_games_won,Service_games_won_ratio,Return_games_won,Return_games_won_ratio,Total_games,Total_games_ratio,Sets,Tiebreak_played,Tiebreak_won,Startdate,Finaldate
65,ReillyOpelka,2019-02-11,New York,R32,ATP,Hard,89,48,Left,Adrian Mannarino,Win,"2-6, 7-6(5), 6-4",24,4,0.67,0.82,0.40,0.68,2,4,0.50,0.28,0.43,0.33,1,6,0.17,0.49,13/15,0.87,1/15,0.07,14/30,0.47,3,1,1,2019-02-09,2019-02-18
66,ReillyOpelka,2019-02-04,Dallas,Semis,Challengers,Hard,98,91,Right,Mackenzie Mcdonald,Lose,"4-6, 6-7(13)",18,6,0.59,0.78,0.49,0.66,1,2,0.50,0.16,0.22,0.18,0,1,0.00,0.44,10/11,0.91,0/11,0.00,10/22,0.45,2,1,0,2019-02-02,2019-02-11
67,ReillyOpelka,2019-02-04,Dallas,Quarters,Challengers,Hard,98,167,Left,Dominik Koepfer,Win,"7-6(9), 3-6, 7-6(12)",20,2,0.67,0.77,0.61,0.72,2,4,0.50,0.25,0.47,0.32,1,6,0.17,0.51,14/16,0.88,1/17,0.06,15/33,0.45,3,2,2,2019-02-02,2019-02-11
68,ReillyOpelka,2019-02-04,Dallas,R16,Challengers,Hard,98,221,Left,Thomaz Bellucci,Win,"6-4, 6-4",20,2,0.71,0.88,0.35,0.73,2,2,1.00,0.25,0.55,0.36,2,4,0.50,0.55,10/10,1.00,2/10,0.20,12/20,0.60,2,0,0,2019-02-02,2019-02-11
69,ReillyOpelka,2019-02-04,Dallas,R32,Challengers,Hard,98,286,Right,Jan Choinski,Win,"4-6, 6-3, 6-4",26,8,0.59,0.87,0.53,0.73,2,3,0.67,0.15,0.50,0.27,2,5,0.40,0.52,14/15,0.93,2/14,0.14,16/29,0.55,3,0,0,2019-02-02,2019-02-11
70,ReillyOpelka,2019-01-14,Australian Open,R64,Grand Slams,Hard,97,102,Right,Thomas Fabbiano,Lose,"7-6(15), 2-6, 4-6, 6-3, 6-7(5)",67,8,0.64,0.85,0.43,0.70,2,5,0.40,0.20,0.52,0.27,1,5,0.20,0.49,22/25,0.88,1/26,0.04,23/51,0.45,5,2,1,2019-01-12,2019-01-28
71,ReillyOpelka,2019-01-14,Australian Open,R128,Grand Slams,Hard,97,10,Right,John Isner,Win,"7-6(4), 7-6(6), 6-7(4), 7-6(5)",40,6,0.58,0.85,0.66,0.77,1,2,0.50,0.13,0.39,0.19,1,3,0.33,0.49,23/24,0.96,1/24,0.04,24/48,0.50,4,4,3,2019-01-12,2019-01-28
72,ReillyOpelka,2019-01-07,Sydney,R16,ATP,Hard,102,29,Right,Alex De Minaur,Lose,"4-6, 6-7(5)",17,3,0.62,0.79,0.48,0.67,6,7,0.86,0.12,0.30,0.20,0,0,,0.46,10/11,0.91,0/11,0.00,10/22,0.45,2,1,0,2019-01-05,2019-01-14
73,ReillyOpelka,2019-01-07,Sydney,R32,ATP,Hard,102,65,Left,Albert Ramos,Win,"6-3, 6-4",16,0,0.73,0.92,0.62,0.84,0,0,,0.20,0.61,0.34,2,5,0.40,0.58,10/10,1.00,2/9,0.22,12/19,0.63,2,0,0,2019-01-05,2019-01-14
74,ReillyOpelka,2019-01-07,Sydney,Q2,ATP,Hard,102,78,Right,Taro Daniel,Win,"6-7(5), 6-4, 6-4",26,6,0.62,0.82,0.51,0.70,3,3,1.00,0.28,0.43,0.33,2,10,0.20,0.51,16/16,1.00,2/16,0.12,18/32,0.56,3,1,0,2019-01-05,2019-01-14
75,ReillyOpelka,2019-01-07,Sydney,Q1,ATP,Hard,102,82,Right,Pablo Andujar,Win,"6-1, 7-5",20,1,0.68,0.92,0.59,0.81,5,5,1.00,0.33,0.41,0.36,3,6,0.50,0.60,10/10,1.00,3/9,0.33,13/19,0.68,2,0,0,2019-01-05,2019-01-14
